District,Crop,Crop_Year,Season,Area ,Production,Yield,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
bhilwara,Bajra,2009,Kharif     ,7.595494684,4.780921296,0.161674644,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,2010,Kharif     ,8.017278288,6.131806167,0.552425311,Tube Well,13009.00115,12567.34291
bhilwara,Bajra,2011,Kharif     ,7.511837767,5.622477669,0.472312663,Tube Well,5664.668931,6018.313816
bhilwara,Bajra,2012,Kharif     ,7.230178987,5.917035436,0.694222655,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,2013,Kharif     ,7.197736963,5.6498735,0.581021156,Tube Well,13009.00115,12567.34291
bhilwara,Bajra,2014,Kharif     ,7.231027933,5.682158387,0.585512011,Tube Well,5664.668931,6018.313816
bhilwara,Bajra,2015,Kharif     ,7.259414808,5.426076035,0.458982063,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,2016,Kharif     ,7.279717626,5.778054743,0.614992938,Tube Well,13009.00115,12567.34291
bhilwara,Bajra,2017,Kharif     ,7.313190587,5.649156381,0.544799907,Tube Well,5664.668931,6018.313816
bhilwara,Bajra,2018,Kharif     ,7.290885534,5.858195433,0.650239174,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,2019,Kharif     ,7.533739492,5.205043264,0.292533108,Tube Well,13009.00115,12567.34291
ganganagar,Bajra,1997,Kharif     ,7.517364814,5.384205278,0.365723581,Drip Irrigation,13129.22669,13708.07166
ganganagar,Bajra,1998,Kharif     ,7.029788898,4.897168514,0.308307117,Sprinkler Irrigation,8015.789943,7515.180811
ganganagar,Bajra,1999,Kharif     ,7.159462169,4.843260973,0.259028162,Drip Irrigation,7555.182638,7484.953906
ganganagar,Bajra,2000,Kharif     ,7.537037823,5.262568615,0.313429746,Sprinkler Irrigation,15528.13214,15790.83755
ganganagar,Bajra,2001,Kharif     ,8.471194881,6.201198193,0.4415222,Sprinkler Irrigation,11978.69074,11956.27806
ganganagar,Bajra,2002,Kharif     ,6.950045142,4.429300162,0.182915944,Sprinkler Irrigation,11862.46803,12367.23475
ganganagar,Bajra,2003,Kharif     ,9.023404813,6.803675802,0.559852518,Sprinkler Irrigation,9273.274584,9322.065979
ganganagar,Bajra,2004,Kharif     ,7.90062055,5.747027272,0.411566607,Drip Irrigation,13129.22669,13708.07166
ganganagar,Bajra,2005,Kharif     ,7.757284325,5.403145378,0.308307117,Sprinkler Irrigation,8015.789943,7515.180811
ganganagar,Bajra,2006,Kharif     ,8.866309498,6.853269309,0.634164617,Drip Irrigation,7555.182638,7484.953906
ganganagar,Bajra,2007,Kharif     ,8.619158052,6.814704403,0.692789957,Sprinkler Irrigation,15528.13214,15790.83755
ganganagar,Bajra,2008,Kharif     ,9.116292827,7.093866305,0.673279257,Sprinkler Irrigation,11978.69074,11956.27806
ganganagar,Bajra,2009,Kharif     ,7.877434209,5.998056584,0.531627805,Sprinkler Irrigation,11862.46803,12367.23475
ganganagar,Bajra,2010,Kharif     ,9.118211081,6.850979354,0.552425311,Sprinkler Irrigation,9273.274584,9322.065979
ganganagar,Bajra,2011,Kharif     ,8.138280582,6.499437013,0.689896444,Drip Irrigation,13129.22669,13708.07166
ganganagar,Bajra,2012,Kharif     ,7.627646982,6.096243229,0.657054609,Sprinkler Irrigation,8015.789943,7515.180811
ganganagar,Bajra,2013,Kharif     ,7.176779332,5.71933125,0.620898448,Drip Irrigation,7555.182638,7484.953906
ganganagar,Bajra,2014,Kharif     ,7.244082821,5.689341532,0.585512011,Sprinkler Irrigation,15528.13214,15790.83755
ganganagar,Bajra,2015,Kharif     ,7.189324754,5.620721494,0.569460615,Sprinkler Irrigation,11978.69074,11956.27806
ganganagar,Bajra,2016,Kharif     ,8.933367671,6.772944795,0.571811819,Sprinkler Irrigation,11862.46803,12367.23475
ganganagar,Bajra,2017,Kharif     ,8.517263318,6.614623496,0.626669903,Sprinkler Irrigation,9273.274584,9322.065979
ganganagar,Bajra,2018,Kharif     ,8.376414835,6.552363171,0.641439606,Drip Irrigation,13129.22669,13708.07166
ganganagar,Bajra,2019,Kharif     ,8.065410239,6.302603074,0.618945074,Sprinkler Irrigation,8015.789943,7515.180811
hanumangarh,Bajra,1997,Kharif     ,10.25733955,7.294997916,0.407633292,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,1998,Kharif     ,10.06475368,7.174281977,0.411566607,Sprinkler Irrigation,5979.184725,5235.677515
hanumangarh,Bajra,1999,Kharif     ,10.05607343,6.731188615,0.235104486,Tube Well,11789.09249,12462.09477
hanumangarh,Bajra,2000,Kharif     ,10.02349721,6.363396412,0.139417799,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,2001,Kharif     ,10.54906644,7.57591882,0.455562791,Sprinkler Irrigation,5979.184725,5235.677515
hanumangarh,Bajra,2002,Kharif     ,10.1432926,6.000520432,0.074491701,Tube Well,11789.09249,12462.09477
hanumangarh,Bajra,2003,Kharif     ,10.70537913,7.782963795,0.509254684,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,2004,Kharif     ,10.26868521,7.137285912,0.333278221,Sprinkler Irrigation,5979.184725,5235.677515
hanumangarh,Bajra,2005,Kharif     ,10.37806215,7.571974768,0.506338044,Tube Well,11789.09249,12462.09477
hanumangarh,Bajra,2006,Kharif     ,10.55604389,7.66461904,0.49741858,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,2007,Kharif     ,10.45776114,7.897164914,0.648504634,Sprinkler Irrigation,5979.184725,5235.677515
hanumangarh,Bajra,2008,Kharif     ,10.39231916,7.868929851,0.655368891,Tube Well,11789.09249,12462.09477
hanumangarh,Bajra,2009,Kharif     ,10.0523256,6.953089003,0.318486907,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,2010,Kharif     ,10.50070844,7.608076646,0.485114287,Sprinkler Irrigation,5979.184725,5235.677515
hanumangarh,Bajra,2011,Kharif     ,10.312295,7.736602388,0.612993812,Tube Well,11789.09249,12462.09477
hanumangarh,Bajra,2012,Kharif     ,9.654672527,7.406929326,0.658728453,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,2013,Kharif     ,9.636521021,7.142664494,0.531627805,Sprinkler Irrigation,5979.184725,5235.677515
hanumangarh,Bajra,2014,Kharif     ,9.667495906,7.295316947,0.598551836,Tube Well,11789.09249,12462.09477
hanumangarh,Bajra,2015,Kharif     ,9.532904949,6.930914166,0.458982063,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,2016,Kharif     ,9.837925916,6.805108495,0.313429746,Sprinkler Irrigation,5979.184725,5235.677515
hanumangarh,Bajra,2017,Kharif     ,9.735453449,6.820861269,0.347524442,Tube Well,11789.09249,12462.09477
hanumangarh,Bajra,2018,Kharif     ,9.569559482,6.842972996,0.407633292,Sprinkler Irrigation,8975.988385,9476.698683
hanumangarh,Bajra,2019,Kharif     ,9.603798482,6.741237813,0.35215736,Sprinkler Irrigation,5979.184725,5235.677515
jaipur,Bajra,1997,Kharif     ,11.23623947,8.062428971,0.478777558,Canal Irrigation,10801.46794,11061.19237
jaipur,Bajra,1998,Kharif     ,11.17737414,8.166453437,0.552425311,Drip Irrigation,6705.033459,7024.611146
jaipur,Bajra,1999,Kharif     ,11.1814992,7.892262852,0.411566607,Sprinkler Irrigation,8846.00298,7904.286715
jaipur,Bajra,2000,Kharif     ,11.27308591,7.906582955,0.391448159,Sprinkler Irrigation,12647.30341,12819.36156
jaipur,Bajra,2001,Kharif     ,11.40979581,8.324103144,0.557398313,Sprinkler Irrigation,13314.37491,13218.53505
jaipur,Bajra,2002,Kharif     ,11.30361836,7.69882098,0.292533108,Canal Irrigation,10801.46794,11061.19237
jaipur,Bajra,2003,Kharif     ,11.57698026,8.629486257,0.66530762,Drip Irrigation,6705.033459,7024.611146
jaipur,Bajra,2004,Kharif     ,11.40406075,8.431785489,0.618945074,Sprinkler Irrigation,8846.00298,7904.286715
jaipur,Bajra,2005,Kharif     ,11.43674433,8.147120878,0.455562791,Sprinkler Irrigation,12647.30341,12819.36156
jaipur,Bajra,2006,Kharif     ,11.44668114,8.362221059,0.567089351,Sprinkler Irrigation,13314.37491,13218.53505
jaipur,Bajra,2007,Kharif     ,11.49291235,8.524212082,0.637828953,Canal Irrigation,10801.46794,11061.19237
jaipur,Bajra,2008,Kharif     ,11.48523149,8.530461515,0.643225178,Drip Irrigation,6705.033459,7024.611146
jaipur,Bajra,2009,Kharif     ,11.54730819,8.196811948,0.445088058,Sprinkler Irrigation,8846.00298,7904.286715
jaipur,Bajra,2010,Kharif     ,11.57782652,8.51886582,0.606901968,Sprinkler Irrigation,12647.30341,12819.36156
jaipur,Bajra,2011,Kharif     ,11.54367869,8.572104944,0.646757549,Sprinkler Irrigation,13314.37491,13218.53505
jaipur,Bajra,2012,Kharif     ,11.50140153,8.493781122,0.618945074,Canal Irrigation,10801.46794,11061.19237
jaipur,Bajra,2013,Kharif     ,11.50539312,8.530843109,0.637828953,Drip Irrigation,6705.033459,7024.611146
jaipur,Bajra,2014,Kharif     ,11.48938082,8.564483242,0.660390551,Sprinkler Irrigation,8846.00298,7904.286715
jaipur,Bajra,2015,Kharif     ,11.49754496,8.403739138,0.571811819,Sprinkler Irrigation,12647.30341,12819.36156
jaipur,Bajra,2016,Kharif     ,11.50813697,8.572181071,0.658728453,Sprinkler Irrigation,13314.37491,13218.53505
jaipur,Bajra,2017,Kharif     ,11.49332323,8.518297549,0.634164617,Canal Irrigation,10801.46794,11061.19237
jaipur,Bajra,2018,Kharif     ,11.49225673,8.533642431,0.643225178,Drip Irrigation,6705.033459,7024.611146
jaipur,Bajra,2019,Kharif     ,11.50303507,8.645016851,0.698465624,Sprinkler Irrigation,8846.00298,7904.286715
jodhpur,Bajra,1997,Kharif     ,12.09052599,8.195217274,0.287135104,Sprinkler Irrigation,8773.893688,7965.001126
jodhpur,Bajra,1998,Kharif     ,11.93730433,6.621348583,0.029189641,Tube Well,10552.23841,10219.82292
jodhpur,Bajra,1999,Kharif     ,11.88621007,7.185561059,0.074491701,Tube Well,13462.22994,14202.63
jodhpur,Bajra,2000,Kharif     ,11.97699833,7.508167456,0.108028479,Tube Well,5868.969579,5650.334584
jodhpur,Bajra,2001,Kharif     ,12.13688796,8.51745905,0.419303053,Canal Irrigation,7592.191946,7176.437921
jodhpur,Bajra,2002,Kharif     ,9.903916059,7.105950344,0.426870775,Sprinkler Irrigation,8773.893688,7965.001126
jodhpur,Bajra,2003,Kharif     ,12.20572163,8.835746095,0.567089351,Tube Well,10552.23841,10219.82292
jodhpur,Bajra,2004,Kharif     ,12.01831789,8.003332471,0.22890913,Tube Well,13462.22994,14202.63
jodhpur,Bajra,2005,Kharif     ,12.07348154,7.706953336,0.139417799,Tube Well,5868.969579,5650.334584
jodhpur,Bajra,2006,Kharif     ,11.9344953,7.823719402,0.189782927,Canal Irrigation,7592.191946,7176.437921
jodhpur,Bajra,2007,Kharif     ,12.05609201,8.431242702,0.403655575,Sprinkler Irrigation,8773.893688,7965.001126
jodhpur,Bajra,2008,Kharif     ,12.08068899,8.212671273,0.297860167,Tube Well,10552.23841,10219.82292
jodhpur,Bajra,2009,Kharif     ,12.0335089,6.857682322,0.038572545,Tube Well,13462.22994,14202.63
jodhpur,Bajra,2010,Kharif     ,12.11538187,8.689737114,0.517840762,Tube Well,5868.969579,5650.334584
jodhpur,Bajra,2011,Kharif     ,12.03891456,8.726537516,0.562285574,Canal Irrigation,7592.191946,7176.437921
jodhpur,Bajra,2012,Kharif     ,11.77182753,8.169282134,0.361255902,Sprinkler Irrigation,8773.893688,7965.001126
jodhpur,Bajra,2013,Kharif     ,11.9047286,8.207525524,0.342834347,Tube Well,10552.23841,10219.82292
jodhpur,Bajra,2014,Kharif     ,11.7888743,8.553461894,0.554922674,Tube Well,13462.22994,14202.63
jodhpur,Bajra,2015,Kharif     ,11.74317409,8.233728001,0.403655575,Tube Well,5868.969579,5650.334584
jodhpur,Bajra,2016,Kharif     ,11.77015576,8.36287285,0.458982063,Canal Irrigation,7592.191946,7176.437921
jodhpur,Bajra,2017,Kharif     ,11.77917825,8.488077518,0.523432177,Sprinkler Irrigation,8773.893688,7965.001126
jodhpur,Bajra,2018,Kharif     ,11.68063159,8.184562428,0.39963268,Tube Well,10552.23841,10219.82292
jodhpur,Bajra,2019,Kharif     ,11.70744764,8.445393416,0.523432177,Tube Well,13462.22994,14202.63
kota,Bajra,1998,Kharif     ,0.689579367,4.819289517,0,Canal Irrigation,13627.38375,14092.26588
kota,Bajra,1999,Kharif     ,4.927678782,3.248330605,0.259028162,Canal Irrigation,7486.885655,7015.676647
kota,Bajra,2000,Kharif     ,3.462798795,2.327406109,0.313429746,Canal Irrigation,10327.94384,11062.99548
kota,Bajra,2001,Kharif     ,4.218284048,3.260132356,0.445088058,Sprinkler Irrigation,13197.7855,12776.71183
kota,Bajra,2002,Kharif     ,2.2635259,1.004532122,0.182915944,Drip Irrigation,6001.7501,5525.327312
kota,Bajra,2003,Kharif     ,5.231535295,4.259317162,0.559852518,Sprinkler Irrigation,10072.25843,10460.96623
kota,Bajra,2004,Kharif     ,3.347596773,2.491879081,0.39963268,Sprinkler Irrigation,6436.522127,6621.783429
kota,Bajra,2005,Kharif     ,3.721461363,2.491879081,0.303117708,Sprinkler Irrigation,10081.24336,10292.94583
kota,Bajra,2006,Kharif     ,2.929843371,2.22787076,0.419303053,Canal Irrigation,13002.94129,13746.17239
kota,Bajra,2007,Kharif     ,4.206190657,3.316156067,0.472312663,Canal Irrigation,13627.38375,14092.26588
kota,Bajra,2008,Kharif     ,3.761647827,2.989268872,0.472312663,Canal Irrigation,7486.885655,7015.676647
kota,Bajra,2009,Kharif     ,4.287694861,2.874367177,0.292533108,Canal Irrigation,10327.94384,11062.99548
kota,Bajra,2010,Kharif     ,4.181518214,3.493719902,0.552425311,Sprinkler Irrigation,13197.7855,12776.71183
kota,Bajra,2011,Kharif     ,4.242005768,3.619660233,0.585512011,Drip Irrigation,6001.7501,5525.327312
kota,Bajra,2012,Kharif     ,4.218284048,3.43378521,0.515005647,Sprinkler Irrigation,10072.25843,10460.96623
kota,Bajra,2013,Kharif     ,4.143228495,3.347607589,0.503393425,Sprinkler Irrigation,6436.522127,6621.783429
kota,Bajra,2014,Kharif     ,3.872730417,3.260132356,0.547364231,Sprinkler Irrigation,10081.24336,10292.94583
kota,Bajra,2015,Kharif     ,3.872730417,3.040081783,0.458982063,Canal Irrigation,13002.94129,13746.17239
kota,Bajra,2016,Kharif     ,4.193936807,3.43378521,0.523432177,Canal Irrigation,13627.38375,14092.26588
kota,Bajra,2017,Kharif     ,3.612680665,2.914892836,0.488235806,Canal Irrigation,7486.885655,7015.676647
kota,Bajra,2018,Kharif     ,3.435301259,2.78518238,0.488235806,Canal Irrigation,10327.94384,11062.99548
kota,Bajra,2019,Kharif     ,3.462798795,3.006639759,0.569460615,Sprinkler Irrigation,13197.7855,12776.71183
nagaur,Bajra,1997,Kharif     ,11.84872234,8.265522645,0.387284884,Tube Well,14997.40128,15147.21472
nagaur,Bajra,1998,Kharif     ,11.83371594,8.078092073,0.308307117,Sprinkler Irrigation,13310.5613,12879.77876
nagaur,Bajra,1999,Kharif     ,11.71859475,7.887902923,0.259028162,Canal Irrigation,10494.50334,11480.93303
nagaur,Bajra,2000,Kharif     ,11.79517117,8.199563035,0.37013819,Sprinkler Irrigation,7692.338336,7395.405669
nagaur,Bajra,2001,Kharif     ,11.87160675,8.451793396,0.472312663,Tube Well,14997.40128,15147.21472
nagaur,Bajra,2002,Kharif     ,11.31514989,7.328706123,0.168864338,Sprinkler Irrigation,13310.5613,12879.77876
nagaur,Bajra,2003,Kharif     ,12.01359655,8.738273627,0.578747641,Canal Irrigation,10494.50334,11480.93303
nagaur,Bajra,2004,Kharif     ,11.80711072,8.436102881,0.485114287,Sprinkler Irrigation,7692.338336,7395.405669
nagaur,Bajra,2005,Kharif     ,11.85902335,8.186538314,0.347524442,Tube Well,14997.40128,15147.21472
nagaur,Bajra,2006,Kharif     ,11.85350951,8.384737793,0.445088058,Sprinkler Irrigation,13310.5613,12879.77876
nagaur,Bajra,2007,Kharif     ,11.88131805,8.489709663,0.488235806,Canal Irrigation,10494.50334,11480.93303
nagaur,Bajra,2008,Kharif     ,11.90614678,8.566177686,0.520649479,Sprinkler Irrigation,7692.338336,7395.405669
nagaur,Bajra,2009,Kharif     ,11.86802611,7.998758937,0.264803714,Tube Well,14997.40128,15147.21472
nagaur,Bajra,2010,Kharif     ,11.94776815,8.782364647,0.624760689,Sprinkler Irrigation,13310.5613,12879.77876
nagaur,Bajra,2011,Kharif     ,11.88120261,8.676034571,0.589929534,Canal Irrigation,10494.50334,11480.93303
nagaur,Bajra,2012,Kharif     ,11.64117866,7.759702699,0.22890913,Sprinkler Irrigation,7692.338336,7395.405669
nagaur,Bajra,2013,Kharif     ,11.7799536,8.410914721,0.481961697,Tube Well,14997.40128,15147.21472
nagaur,Bajra,2014,Kharif     ,11.67905296,8.377980871,0.49741858,Sprinkler Irrigation,13310.5613,12879.77876
nagaur,Bajra,2015,Kharif     ,11.63196994,8.210406966,0.426870775,Canal Irrigation,10494.50334,11480.93303
nagaur,Bajra,2016,Kharif     ,11.61183367,8.413866045,0.539602133,Sprinkler Irrigation,7692.338336,7395.405669
nagaur,Bajra,2017,Kharif     ,11.51781795,8.280388108,0.500420412,Tube Well,14997.40128,15147.21472
nagaur,Bajra,2018,Kharif     ,11.50739254,8.329315402,0.528920981,Sprinkler Irrigation,13310.5613,12879.77876
nagaur,Bajra,2019,Kharif     ,11.49647015,8.304974259,0.520649479,Canal Irrigation,10494.50334,11480.93303
udaipur,Bajra,1998,Kharif     ,3.721461363,2.491879081,0.303117708,Tube Well,14424.59463,15127.51233
udaipur,Bajra,1999,Kharif     ,3.250818578,1.973100291,0.253172224,Drip Irrigation,13263.7736,13514.24671
udaipur,Bajra,2000,Kharif     ,3.657728431,2.454272273,0.308307117,Canal Irrigation,11489.44244,11979.86513
udaipur,Bajra,2001,Kharif     ,3.635476711,2.831245939,0.448616374,Tube Well,14424.59463,15127.51233
udaipur,Bajra,2002,Kharif     ,3.906989799,2.172255062,0.182915944,Drip Irrigation,13263.7736,13514.24671
udaipur,Bajra,2003,Kharif     ,4.53962043,3.769081244,0.559852518,Canal Irrigation,11489.44244,11979.86513
udaipur,Bajra,2004,Kharif     ,3.890018162,2.914892836,0.407633292,Tube Well,14424.59463,15127.51233
udaipur,Bajra,2005,Kharif     ,3.721461363,2.527542596,0.313429746,Drip Irrigation,13263.7736,13514.24671
udaipur,Bajra,2006,Kharif     ,3.250818578,2.491879081,0.426870775,Canal Irrigation,11489.44244,11979.86513
udaipur,Bajra,2007,Kharif     ,3.800169619,3.02357028,0.47556138,Tube Well,14424.59463,15127.51233
udaipur,Bajra,2008,Kharif     ,2.439457995,1.973100291,0.4690309,Drip Irrigation,13263.7736,13514.24671
udaipur,Bajra,2009,Kharif     ,4.230221098,2.831245939,0.292533108,Canal Irrigation,11489.44244,11979.86513
udaipur,Bajra,2010,Kharif     ,3.063363699,2.654147306,0.547364231,Tube Well,14424.59463,15127.51233
udaipur,Bajra,2011,Kharif     ,2.716087849,2.491879081,0.589929534,Drip Irrigation,13263.7736,13514.24671
udaipur,Bajra,2012,Kharif     ,2.161639589,1.892083867,0.523432177,Canal Irrigation,11489.44244,11979.86513
udaipur,Bajra,2013,Kharif     ,4.905211502,3.898825893,0.503393425,Tube Well,14424.59463,15127.51233
udaipur,Bajra,2014,Kharif     ,2.161639589,1.973100291,0.557398313,Drip Irrigation,13263.7736,13514.24671
udaipur,Bajra,2015,Kharif     ,3.180261969,2.527542596,0.462366137,Canal Irrigation,11489.44244,11979.86513
udaipur,Bajra,2016,Kharif     ,3.020927259,2.561449898,0.523432177,Tube Well,14424.59463,15127.51233
udaipur,Bajra,2017,Kharif     ,3.565345167,2.894935186,0.491326723,Drip Irrigation,13263.7736,13514.24671
udaipur,Bajra,2018,Kharif     ,3.515479076,2.853151163,0.491326723,Canal Irrigation,11489.44244,11979.86513
udaipur,Bajra,2019,Kharif     ,3.818847985,3.271726017,0.569460615,Tube Well,14424.59463,15127.51233
ajmer,Barley,1997,Rabi       ,9.389172599,7.056088113,0.567089351,Drip Irrigation,15896.18643,16849.76939
ajmer,Barley,1998,Rabi       ,9.271080759,7.237609167,0.695646104,Canal Irrigation,8318.884321,8775.857827
ajmer,Barley,1999,Rabi       ,8.783534367,6.778949947,0.622836928,Sprinkler Irrigation,12010.235,12905.24169
ajmer,Barley,2000,Rabi       ,8.622671395,6.68214636,0.626669903,Sprinkler Irrigation,11392.33063,10973.48962
ajmer,Barley,2001,Rabi       ,8.721588254,7.051913286,0.770973976,Drip Irrigation,15896.18643,16849.76939
